# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
400000 20 11519.999999999998
  1 0.025 582.47 254.228
  2 0.075 579.4 271.958
  3 0.125 578.216 281.623
  4 0.175 576.75 286.956
  5 0.225 576.602 293.984
  6 0.275 576.316 298.65
  7 0.325 575.776 302.317
  8 0.375 574.342 308.062
  9 0.425 574.25 317.096
  10 0.475 571.842 333.081
  11 0.525 569.21 351.936
  12 0.575 571.488 332.399
  13 0.625 573.726 318.476
  14 0.675 574.858 310.984
  15 0.725 575.31 302.378
  16 0.775 576.424 297.76
  17 0.825 577.31 291.656
  18 0.875 577.282 288.521
  19 0.925 578.362 278.671
  20 0.975 580.066 269.936
