# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
400000 20 5760
  1 0.025 288.412 283.356
  2 0.075 288.6 288.109
  3 0.125 288.236 292.846
  4 0.175 288.036 294.522
  5 0.225 288.136 296.533
  6 0.275 287.974 296.35
  7 0.325 287.894 300.698
  8 0.375 287.582 302.284
  9 0.425 288.354 302.527
  10 0.475 287.552 306.742
  11 0.525 287.506 314.511
  12 0.575 287.564 306.11
  13 0.625 287.924 302.22
  14 0.675 287.65 301.101
  15 0.725 287.918 299.136
  16 0.775 288.274 296.262
  17 0.825 287.726 295.616
  18 0.875 288.41 295.558
  19 0.925 287.474 293.395
  20 0.975 288.778 288.632
