# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
400000 20 23039.999999999996
  1 0.025 1154.44 281.182
  2 0.075 1153.77 287.74
  3 0.125 1153.04 293.612
  4 0.175 1152.52 296.093
  5 0.225 1152.27 297.027
  6 0.275 1151.37 300.653
  7 0.325 1152.41 302.563
  8 0.375 1151.56 304.958
  9 0.425 1151.44 311.21
  10 0.475 1150.51 314.362
  11 0.525 1148.51 322.022
  12 0.575 1150.58 313.096
  13 0.625 1150.57 309.105
  14 0.675 1151.63 306.272
  15 0.725 1151.57 304.968
  16 0.775 1152.43 299.926
  17 0.825 1152.09 299.983
  18 0.875 1152.53 298.111
  19 0.925 1152.89 294.206
  20 0.975 1153.87 288.564
