# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
1 0.017 0 0
2 0.051 0 0
3 0.085 0 0
4 0.119 0 0
5 0.153 0 0
6 0.187 0 0
7 0.221 0 0
8 0.255 0 0
9 0.289 0 0
10 0.323 0 0
11 0.357 0 0
12 0.391 0 0
13 0.425 0 0
14 0.459 0 0
15 0.493 0 0
16 0.527 0 0
17 0.561 0 0
18 0.595 0 0
19 0.629 0 0
20 0.663 0 0
21 0.697 0 0
22 0.731 0 0
23 0.765 0 0
24 0.799 0 0
25 0.833 0 0
26 0.867 0 0
27 0.901 0 0
28 0.935 0 0
29 0.969 0 0
30 1.003 0 0
31 1.037 0 0
32 1.071 0 0
33 1.105 0 0
34 1.139 0 0
35 1.173 0 0
36 1.207 0 0
37 1.241 0 0
38 1.275 0 0
39 1.309 0 0
40 1.343 0 0
41 1.377 0 0
42 1.411 0 0
43 1.445 0 0
44 1.479 0 0
45 1.513 0 0
46 1.547 0 0
47 1.581 0 0
48 1.615 0 0
49 1.649 0 0
50 1.683 0 0
51 1.717 0 0
52 1.751 0 0
53 1.785 0 0
54 1.819 0 0
55 1.853 0 0
56 1.887 0 0
57 1.921 0 0
58 1.955 0 0
59 1.989 0 0
60 2.023 0 0
61 2.057 0 0
62 2.091 0 0
63 2.125 0 0
64 2.159 0 0
65 2.193 0 0
66 2.227 7.97197e-05 9.76563e-06
67 2.261 0.000154066 2.92969e-05
68 2.295 0.00119754 0.000185547
69 2.329 0.00421449 0.000751953
70 2.363 0.0124261 0.0024707
71 2.397 0.0269685 0.00630859
72 2.431 0.058236 0.014834
73 2.465 0.11316 0.0318652
74 2.499 0.210597 0.0644434
75 2.533 0.366533 0.122695
76 2.567 0.629193 0.225391
77 2.601 0.999432 0.392861
78 2.635 1.48031 0.647441
79 2.669 2.08176 1.01476
80 2.703 2.71912 1.50683
81 2.737 3.33855 2.12629
82 2.771 3.88489 2.86515
83 2.805 4.32893 3.70878
84 2.839 4.59291 4.62568
85 2.873 4.6303 5.57232
86 2.907 4.55777 6.52633
87 2.941 4.25798 7.43854
88 2.975 3.87379 8.28775
89 3.009 3.37579 9.04479
90 3.043 2.84378 9.69702
91 3.077 2.32982 10.2434
92 3.111 1.85621 10.6883
93 3.145 1.40876 11.0334
94 3.179 1.07678 11.303
