# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
1 0.017 0 0
2 0.051 0 0
3 0.085 0 0
4 0.119 0 0
5 0.153 0 0
6 0.187 0 0
7 0.221 0 0
8 0.255 0 0
9 0.289 0 0
10 0.323 0 0
11 0.357 0 0
12 0.391 0 0
13 0.425 0 0
14 0.459 0 0
15 0.493 0 0
16 0.527 0 0
17 0.561 0 0
18 0.595 0 0
19 0.629 0 0
20 0.663 0 0
21 0.697 0 0
22 0.731 0 0
23 0.765 0 0
24 0.799 0 0
25 0.833 0 0
26 0.867 0 0
27 0.901 0 0
28 0.935 0 0
29 0.969 0 0
30 1.003 0 0
31 1.037 0 0
32 1.071 0 0
33 1.105 0 0
34 1.139 0 0
35 1.173 0 0
36 1.207 0 0
37 1.241 0 0
38 1.275 0 0
39 1.309 0 0
40 1.343 0 0
41 1.377 0 0
42 1.411 0 0
43 1.445 0 0
44 1.479 0 0
45 1.513 0 0
46 1.547 0 0
47 1.581 0 0
48 1.615 0 0
49 1.649 0 0
50 1.683 0 0
51 1.717 0 0
52 1.751 0 0
53 1.785 0 0
54 1.819 0 0
55 1.853 0 0
56 1.887 0 0
57 1.921 0 0
58 1.955 0.000147776 2e-05
59 1.989 0.00085328 0.00014
60 2.023 0.00261391 0.00052
61 2.057 0.00625386 0.00146
62 2.091 0.0258116 0.00547
63 2.125 0.0651988 0.01593
64 2.159 0.160086 0.04244
65 2.193 0.360592 0.10405
66 2.227 0.663508 0.22096
67 2.261 1.0537 0.41233
68 2.295 1.50877 0.69466
69 2.329 2.02757 1.08539
70 2.363 2.51356 1.58401
71 2.397 2.94705 2.18558
72 2.431 3.23247 2.86424
73 2.465 3.40723 3.59975
74 2.499 3.39292 4.35251
75 2.533 3.24528 5.09224
76 2.567 3.00357 5.79537
77 2.601 2.75245 6.45689
78 2.635 2.51933 7.07832
79 2.669 2.3112 7.66321
80 2.703 2.1313 8.21641
81 2.737 2.0085 8.75094
82 2.771 1.9074 9.27125
83 2.805 1.8564 9.79015
84 2.839 1.78503 10.3013
85 2.873 1.72209 10.8062
86 2.907 1.62311 11.2935
87 2.941 1.49441 11.7527
88 2.975 1.33777 12.1734
89 3.009 1.17392 12.551
90 3.043 0.975782 12.8719
91 3.077 0.787546 13.1368
92 3.111 0.621041 13.3504
