# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
1 0.017 0 0
2 0.051 0 0
3 0.085 0 0
4 0.119 0 0
5 0.153 0 0
6 0.187 0 0
7 0.221 0 0
8 0.255 0 0
9 0.289 0 0
10 0.323 0 0
11 0.357 0 0
12 0.391 0 0
13 0.425 0 0
14 0.459 0 0
15 0.493 0 0
16 0.527 0 0
17 0.561 0 0
18 0.595 0 0
19 0.629 0 0
20 0.663 0 0
21 0.697 0 0
22 0.731 0 0
23 0.765 0 0
24 0.799 0 0
25 0.833 0 0
26 0.867 0 0
27 0.901 0 0
28 0.935 0 0
29 0.969 0 0
30 1.003 0 0
31 1.037 0 0
32 1.071 0 0
33 1.105 0 0
34 1.139 0 0
35 1.173 0 0
36 1.207 0 0
37 1.241 0 0
38 1.275 0 0
39 1.309 0 0
40 1.343 0 0
41 1.377 0 0
42 1.411 0 0
43 1.445 0 0
44 1.479 0 0
45 1.513 0 0
46 1.547 0 0
47 1.581 0 0
48 1.615 0 0
49 1.649 0 0
50 1.683 0 0
51 1.717 0 0
52 1.751 0 0
53 1.785 0 0
54 1.819 0 0
55 1.853 0 0
56 1.887 0 0
57 1.921 0 0
58 1.955 0 0
59 1.989 0 0
60 2.023 0 0
61 2.057 0 0
62 2.091 0 0
63 2.125 0 0
64 2.159 0 0
65 2.193 0 0
66 2.227 0 0
67 2.261 0 0
68 2.295 0 0
69 2.329 0 0
70 2.363 0 0
71 2.397 0 0
72 2.431 0 0
73 2.465 0 0
74 2.499 0.000221755 2.5e-05
75 2.533 0.000216618 5e-05
76 2.567 0.00147256 0.000225
77 2.601 0.00307145 0.0006
78 2.635 0.00638086 0.0014
79 2.669 0.0194505 0.0039
80 2.703 0.0405656 0.00925
81 2.737 0.0839674 0.0206
82 2.771 0.164472 0.0434
83 2.805 0.287265 0.0842
84 2.839 0.480938 0.154175
85 2.873 0.81366 0.2754
86 2.907 1.1993 0.458325
87 2.941 1.68114 0.7208
88 2.975 2.29985 1.0882
89 3.009 2.90438 1.56285
90 3.043 3.52678 2.1523
91 3.077 4.02912 2.84083
92 3.111 4.49764 3.62653
93 3.145 4.65959 4.45838
94 3.179 4.80974 5.3357
95 3.213 4.61473 6.19555
96 3.247 4.3621 7.0256
97 3.281 3.98368 7.7996
