# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
1 0.017 0 0
2 0.051 0 0
3 0.085 0 0
4 0.119 0 0
5 0.153 0 0
6 0.187 0 0
7 0.221 0 0
8 0.255 0 0
9 0.289 0 0
10 0.323 0 0
11 0.357 0 0
12 0.391 0 0
13 0.425 0 0
14 0.459 0 0
15 0.493 0 0
16 0.527 0 0
17 0.561 0 0
18 0.595 0 0
19 0.629 0 0
20 0.663 0 0
21 0.697 0 0
22 0.731 0 0
23 0.765 0 0
24 0.799 0 0
25 0.833 0 0
26 0.867 0 0
27 0.901 0 0
28 0.935 0 0
29 0.969 0 0
30 1.003 0 0
31 1.037 0 0
32 1.071 0 0
33 1.105 0 0
34 1.139 0 0
35 1.173 0 0
36 1.207 0 0
37 1.241 0 0
38 1.275 0 0
39 1.309 0 0
40 1.343 0 0
41 1.377 0 0
42 1.411 0 0
43 1.445 0 0
44 1.479 0 0
45 1.513 0 0
46 1.547 0 0
47 1.581 0 0
48 1.615 0 0
49 1.649 0 0
50 1.683 0 0
51 1.717 0 0
52 1.751 0 0
53 1.785 0 0
54 1.819 0 0
55 1.853 0 0
56 1.887 0 0
57 1.921 0.000570796 4.62963e-05
58 1.955 0.00247463 0.00025463
59 1.989 0.00411838 0.000613426
60 2.023 0.0121982 0.00171296
61 2.057 0.0309375 0.00459491
62 2.091 0.066001 0.0109491
63 2.125 0.124337 0.0233102
64 2.159 0.218364 0.0457176
65 2.193 0.346419 0.0823958
66 2.227 0.508152 0.13787
67 2.261 0.723221 0.219259
68 2.295 0.950614 0.329479
69 2.329 1.18441 0.470914
70 2.363 1.41839 0.645266
71 2.397 1.63102 0.851574
72 2.431 1.76257 1.08088
73 2.465 1.8899 1.33367
74 2.499 1.94616 1.60123
75 2.533 1.99899 1.88356
76 2.567 1.98848 2.17203
77 2.601 1.9307 2.45956
78 2.635 1.84332 2.74131
79 2.669 1.74364 3.01475
80 2.703 1.67982 3.28492
81 2.737 1.58514 3.54632
82 2.771 1.49375 3.79881
83 2.805 1.40452 4.04208
84 2.839 1.31609 4.2756
85 2.873 1.26474 4.50542
86 2.907 1.21098 4.73069
87 2.941 1.13354 4.94654
88 2.975 1.12316 5.16537
89 3.009 1.08044 5.38073
90 3.043 1.06249 5.59733
91 3.077 1.0557 5.81737
