# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
60000 20 5760
  1 0.025 288.03 279.576
  2 0.075 288.02 291.885
  3 0.125 288.34 293.31
  4 0.175 288.27 296.709
  5 0.225 287.79 300.562
  6 0.275 287.91 300.132
  7 0.325 288.45 305.611
  8 0.375 287.86 301.888
  9 0.425 288.25 306.963
  10 0.475 287.78 310.942
  11 0.525 288.15 313.771
  12 0.575 287.83 301.695
  13 0.625 287.89 305.094
  14 0.675 288.15 309.473
  15 0.725 287.31 308.604
  16 0.775 288.23 305.534
  17 0.825 287.36 303.688
  18 0.875 288.38 298.851
  19 0.925 287.56 297.936
  20 0.975 288.44 288.983
70000 20 5760
  1 0.025 288.27 280.844
  2 0.075 287.87 294.887
  3 0.125 288.6 296.649
  4 0.175 288.08 295.686
  5 0.225 287.37 302.667
  6 0.275 288.33 305.918
  7 0.325 287.9 303.646
  8 0.375 288.22 301.796
  9 0.425 287.89 308.575
  10 0.475 287.83 304.903
  11 0.525 287.69 316.698
  12 0.575 287.41 303.277
  13 0.625 288.11 299.886
  14 0.675 287.7 302.749
  15 0.725 288.22 305.288
  16 0.775 288.25 301.993
  17 0.825 287.54 301.211
  18 0.875 288.22 304.545
  19 0.925 288.11 297.504
  20 0.975 288.39 289.405
80000 20 5760
  1 0.025 287.97 284.356
  2 0.075 288.35 291.807
  3 0.125 287.98 292.417
  4 0.175 288.65 295.442
  5 0.225 288.18 296.717
  6 0.275 286.87 305.693
  7 0.325 288.14 306.556
  8 0.375 287.64 300.989
  9 0.425 288.31 305.819
  10 0.475 287.58 305.691
  11 0.525 287.94 322.1
  12 0.575 287.67 307.208
  13 0.625 288.26 304.829
  14 0.675 287.51 303.892
  15 0.725 288.35 307.492
  16 0.775 287.83 301.723
  17 0.825 288.16 300.01
  18 0.875 288.13 295.482
  19 0.925 288.25 298.445
  20 0.975 288.23 293.031
90000 20 5760.000000000001
  1 0.025 288.67 283.223
  2 0.075 288.19 296.844
  3 0.125 287.75 297.028
  4 0.175 288.04 295.991
  5 0.225 288.24 298.303
  6 0.275 288.26 304.227
  7 0.325 287.58 303.085
  8 0.375 287.65 303.534
  9 0.425 288.15 306.891
  10 0.475 287.9 308.088
  11 0.525 288.2 322.514
  12 0.575 287.06 313.728
  13 0.625 288.43 303.503
  14 0.675 287.89 304.409
  15 0.725 288.32 300.471
  16 0.775 288.01 294.541
  17 0.825 287.85 296.859
  18 0.875 288.46 299.713
  19 0.925 287.31 297.273
  20 0.975 288.04 291.231
100000 20 5760
  1 0.025 288.47 287.613
  2 0.075 288.48 293.532
  3 0.125 288.41 294.464
  4 0.175 287.71 295.761
  5 0.225 287.92 297.292
  6 0.275 288.52 296.975
  7 0.325 287.54 298.666
  8 0.375 288.21 298.681
  9 0.425 287.86 298.36
  10 0.475 287.7 304.249
  11 0.525 288.34 316.48
  12 0.575 287.29 308.596
  13 0.625 287.91 305.754
  14 0.675 288.19 305.586
  15 0.725 287.77 303.127
  16 0.775 287.96 300.486
  17 0.825 287.74 302.445
  18 0.875 287.89 303.118
  19 0.925 288.2 300.47
  20 0.975 287.89 299.105
110000 20 5759.999999999999
  1 0.025 288.43 278.136
  2 0.075 287.79 290.806
  3 0.125 288.46 296.686
  4 0.175 287.54 294.223
  5 0.225 288.09 299.069
  6 0.275 288.16 299.509
  7 0.325 288.18 301.849
  8 0.375 287.54 306.004
  9 0.425 288.25 305.99
  10 0.475 288.2 308.738
  11 0.525 287.95 325.377
  12 0.575 287.21 314.177
  13 0.625 288.38 303.979
  14 0.675 287.75 301.3
  15 0.725 288.09 302.872
  16 0.775 287.72 299.806
  17 0.825 288.32 301.185
  18 0.875 288.17 296.767
  19 0.925 288.32 300.276
  20 0.975 287.45 293.626
120000 20 5760
  1 0.025 288.52 279.382
  2 0.075 288.15 291.405
  3 0.125 288.33 298.179
  4 0.175 288.06 302.869
  5 0.225 288.37 301.866
  6 0.275 287.51 304.423
  7 0.325 288.27 301.258
  8 0.375 288.1 307.562
  9 0.425 287.54 310.048
  10 0.475 287.75 307.221
  11 0.525 287.59 320.228
  12 0.575 288.05 309.937
  13 0.625 287.62 302.43
  14 0.675 287.67 304.469
  15 0.725 288.38 298.82
  16 0.775 287.87 297.878
  17 0.825 288 298.978
  18 0.875 288.51 290.933
  19 0.925 287.86 295.055
  20 0.975 287.85 293.752
130000 20 5759.999999999999
  1 0.025 288.14 282.534
  2 0.075 288.46 295.476
  3 0.125 288.01 295.698
  4 0.175 287.75 302.202
  5 0.225 287.47 298.409
  6 0.275 288.16 303.189
  7 0.325 286.87 306.018
  8 0.375 288.43 305.431
  9 0.425 287.86 304.639
  10 0.475 288.16 302.224
  11 0.525 287.71 314.462
  12 0.575 287.85 305.754
  13 0.625 288.66 303.202
  14 0.675 288.03 303.724
  15 0.725 287.91 308.015
  16 0.775 288.27 301.661
  17 0.825 288.12 296.803
  18 0.875 287.9 296.877
  19 0.925 288.5 295.03
  20 0.975 287.74 290.396
