# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0263158 0 0.0263158 0.0372161  0.426675 0.556333 0.651667
0.0526316 0 0.0526316 0.0744323  0.852047 1.01029 1.27415
0.0789474 0 0.0789474 0.111648  1.26675 1.39049 1.86618
0.105263 0 0.105263 0.148865  1.65502 1.73081 2.42498
0.131579 0 0.131579 0.186081  2.01046 2.06705 2.95164
0.157895 0 0.157895 0.223297  2.3759 2.44414 3.50957
0.184211 0 0.184211 0.260513  2.74401 2.80587 4.07756
0.210526 0 0.210526 0.297729  3.09218 3.1251 4.61597
0.236842 0 0.236842 0.334945  3.38534 3.42826 5.09606
0.263158 0 0.263158 0.372161  3.66494 3.70044 5.50677
0.289474 0 0.289474 0.409378  3.9471 3.98708 5.9021
0.315789 0 0.315789 0.446594  4.19516 4.26245 6.27563
0.342105 0 0.342105 0.48381  4.40323 4.49304 6.61166
0.368421 0 0.368421 0.521026  4.56519 4.67773 6.89517
0.394737 0 0.394737 0.558242  4.7117 4.81185 7.12295
0.421053 0 0.421053 0.595458  4.84746 4.91327 7.31577
0.447368 0 0.447368 0.632674  4.93381 4.98779 7.46309
0.473684 0 0.473684 0.669891  4.95596 5.04405 7.55548
0.5 0 0.5 0.707107  4.95235 5.06612 7.58711
0.5 0 0.5 0.707107  4.95235 5.06612 7.58711
0.5 0.0277778 0.527778 0.74639  4.97448 5.08434 7.56855
0.5 0.0555556 0.555556 0.785674  5.00302 5.1507 7.51971
0.5 0.0833333 0.583333 0.824958  5.00676 5.26052 7.44668
0.5 0.111111 0.611111 0.864242  4.98758 5.40355 7.3525
0.5 0.138889 0.638889 0.903525  4.96931 5.57154 7.2331
0.5 0.166667 0.666667 0.942809  4.96013 5.77299 7.07606
0.5 0.194444 0.694444 0.982093  4.95385 5.99161 6.8968
0.5 0.222222 0.722222 1.02138  4.94506 6.20948 6.70598
0.5 0.25 0.75 1.06066  4.93578 6.40825 6.51255
0.5 0.25 0.75 1.06066  4.93578 6.40825 6.51255
0.5 0.222222 0.722222 1.09994  4.94506 6.20948 6.70598
0.5 0.194444 0.694444 1.13923  4.95385 5.99161 6.8968
0.5 0.166667 0.666667 1.17851  4.96013 5.77299 7.07606
0.5 0.138889 0.638889 1.2178  4.96931 5.57154 7.2331
0.5 0.111111 0.611111 1.25708  4.98758 5.40355 7.3525
0.5 0.0833333 0.583333 1.29636  5.00676 5.26052 7.44668
0.5 0.0555556 0.555556 1.33565  5.00302 5.1507 7.51971
0.5 0.0277778 0.527778 1.37493  4.97448 5.08434 7.56855
