# Time-averaged data for fix rec
# TimeStep v_t c_fr[1] c_fr[2]
0 0 0 0
20 0.00694221 1 1
40 0.0144022 1 1
60 0.024346 5 5
80 0.0393073 12 12
100 0.0589468 29 29
120 0.0789468 51 51
140 0.0989468 64 63
160 0.118947 78 78
180 0.138947 97 97
200 0.158947 112 109
220 0.178947 124 124
240 0.198947 123 123
260 0.218947 133 133
280 0.238947 138 138
300 0.258947 143 142
320 0.278947 143 143
340 0.298947 136 135
360 0.318947 137 137
380 0.338947 139 139
400 0.358947 128 128
420 0.378947 135 135
440 0.398947 124 124
460 0.418947 119 119
480 0.438947 115 115
500 0.458947 114 114
520 0.478947 108 108
540 0.498947 98 98
560 0.518947 99 99
580 0.538947 94 94
600 0.558947 90 89
620 0.578947 86 85
640 0.598947 81 81
660 0.618947 78 77
680 0.638947 71 71
700 0.658947 67 66
720 0.678947 70 69
740 0.698947 63 62
760 0.718947 64 64
780 0.738947 65 65
800 0.758947 58 58
820 0.778947 60 60
840 0.798947 61 61
860 0.818947 55 55
880 0.838947 55 55
900 0.858947 51 51
920 0.878947 46 46
940 0.898947 49 49
960 0.918947 55 55
980 0.938947 56 56
1000 0.958947 47 47
1020 0.978947 44 44
1040 0.998947 44 44
1060 1.01895 46 46
1080 1.03895 48 48
1100 1.05895 51 51
1120 1.07895 51 51
1140 1.09895 50 50
1160 1.11895 53 53
1180 1.13895 48 48
1200 1.15895 41 41
1220 1.17895 38 38
1240 1.19895 40 40
1260 1.21895 41 41
1280 1.23895 45 44
1300 1.25895 45 44
1320 1.27895 45 45
1340 1.29895 45 45
1360 1.31895 37 37
1380 1.33895 36 36
1400 1.35895 34 34
1420 1.37895 34 34
1440 1.39895 32 32
1460 1.41895 33 33
1480 1.43895 32 32
1500 1.45895 27 27
1520 1.47895 26 26
1540 1.49895 25 25
1560 1.51895 27 27
1580 1.53895 25 25
1600 1.55895 23 23
1620 1.57895 24 24
1640 1.59895 21 21
1660 1.61895 20 20
1680 1.63895 20 20
1700 1.65895 21 21
1720 1.67895 21 21
1740 1.69895 21 21
1760 1.71895 20 20
1780 1.73895 19 19
1800 1.75895 18 18
1820 1.77895 21 21
1840 1.79895 20 20
1860 1.81895 19 19
1880 1.83895 18 18
1900 1.85895 16 16
1920 1.87895 17 17
1940 1.89895 14 14
1960 1.91895 12 12
1980 1.93895 14 14
2000 1.95895 13 13
2020 1.97895 12 12
2040 1.99895 11 11
2060 2.01895 11 11
2080 2.03895 9 9
2100 2.05895 9 9
2120 2.07895 9 9
2140 2.09895 9 9
2160 2.11895 9 9
2180 2.13895 9 9
2200 2.15895 8 8
2220 2.17895 9 9
2240 2.19895 9 9
2260 2.21895 8 8
2280 2.23895 7 7
2300 2.25895 7 7
2320 2.27895 7 7
2340 2.29895 7 7
2360 2.31895 7 7
2380 2.33895 7 7
2400 2.35895 7 6
2420 2.37895 7 7
2440 2.39895 7 7
2460 2.41895 7 7
2480 2.43895 7 7
2500 2.45895 7 7
2520 2.47895 7 7
2540 2.49895 7 7
2560 2.51895 7 7
2580 2.53895 7 7
2600 2.55895 7 7
2620 2.57895 7 7
2640 2.59895 7 7
2660 2.61895 7 7
2680 2.63895 7 7
2700 2.65895 7 7
2720 2.67895 7 7
2740 2.69895 7 7
2760 2.71895 7 7
2780 2.73895 7 7
2800 2.75895 7 7
2820 2.77895 7 7
2840 2.79895 7 7
2860 2.81895 7 7
2880 2.83895 8 8
2900 2.85895 7 7
2920 2.87895 7 7
2940 2.89895 7 7
2960 2.91895 7 7
2980 2.93895 7 7
3000 2.95895 7 7
3020 2.97895 7 7
3040 2.99895 7 7
3060 3.01895 7 7
3080 3.03895 7 7
3100 3.05895 7 7
3120 3.07895 7 7
3140 3.09895 7 7
3160 3.11895 7 7
3180 3.13895 7 7
3200 3.15895 7 7
3220 3.17895 7 7
3240 3.19895 7 7
3260 3.21895 7 7
3280 3.23895 7 7
3300 3.25895 7 7
3320 3.27895 7 7
3340 3.29895 7 7
3360 3.31895 7 7
3380 3.33895 7 7
3400 3.35895 7 7
3420 3.37895 7 7
3440 3.39895 7 7
3460 3.41895 7 7
3480 3.43895 7 7
3500 3.45895 7 7
3520 3.47895 7 7
3540 3.49895 7 7
