# Time-averaged data for fix peout
# TimeStep v_peat
2000 -4.18269
2100 -4.18854
2200 -4.1847
2300 -4.18754
2400 -4.19889
2500 -4.19175
2600 -4.18054
2700 -4.17973
2800 -4.17854
2900 -4.1957
3000 -4.18687
3100 -4.18171
3200 -4.18013
3300 -4.17995
3400 -4.17844
3500 -4.18557
3600 -4.18239
3700 -4.19398
3800 -4.19505
3900 -4.19227
4000 -4.18867
4100 -4.18637
4200 -4.18352
4300 -4.19811
4400 -4.20108
4500 -4.20138
4600 -4.20247
4700 -4.18619
4800 -4.18729
4900 -4.18027
5000 -4.19045
5100 -4.19123
5200 -4.20054
5300 -4.19962
5400 -4.18743
5500 -4.18524
5600 -4.18054
5700 -4.1906
5800 -4.19103
5900 -4.19623
6000 -4.18316
6100 -4.18797
6200 -4.18594
6300 -4.18496
6400 -4.20021
6500 -4.19478
6600 -4.20255
6700 -4.19226
6800 -4.18321
6900 -4.18029
7000 -4.18763
7100 -4.19484
7200 -4.20228
7300 -4.19272
7400 -4.18141
7500 -4.19006
7600 -4.18719
7700 -4.19717
7800 -4.18847
7900 -4.19516
8000 -4.17995
8100 -4.18162
8200 -4.18661
8300 -4.19348
8400 -4.18495
8500 -4.19076
8600 -4.18296
8700 -4.17612
8800 -4.18572
8900 -4.19442
9000 -4.19003
9100 -4.19178
9200 -4.18957
9300 -4.19172
9400 -4.18895
9500 -4.18689
9600 -4.17624
9700 -4.18745
9800 -4.185
9900 -4.18428
10000 -4.20138
10100 -4.19489
10200 -4.18178
10300 -4.18519
10400 -4.18204
10500 -4.1887
10600 -4.20193
10700 -4.20159
10800 -4.1861
10900 -4.18661
11000 -4.18827
11100 -4.19011
11200 -4.18893
11300 -4.19251
11400 -4.18136
11500 -4.17406
11600 -4.18904
11700 -4.18545
11800 -4.1895
11900 -4.19136
12000 -4.19036
12100 -4.19217
12200 -4.20269
12300 -4.18902
12400 -4.18156
12500 -4.18184
12600 -4.18558
12700 -4.18357
12800 -4.19405
12900 -4.19906
13000 -4.20459
13100 -4.19128
13200 -4.20072
13300 -4.1806
13400 -4.18784
13500 -4.18705
13600 -4.18651
13700 -4.19787
13800 -4.19995
13900 -4.18918
14000 -4.18283
