# Time-averaged data for fix peout
# TimeStep v_peat
2000 -4.12386
2100 -4.12199
2200 -4.1161
2300 -4.12214
2400 -4.14165
2500 -4.14141
2600 -4.14486
2700 -4.14372
2800 -4.14317
2900 -4.13969
3000 -4.1332
3100 -4.14509
3200 -4.15173
3300 -4.15481
3400 -4.15049
3500 -4.15823
3600 -4.15151
3700 -4.1638
3800 -4.15964
3900 -4.16336
4000 -4.16134
4100 -4.15981
4200 -4.1537
4300 -4.15815
4400 -4.16766
4500 -4.16292
4600 -4.15847
4700 -4.16083
4800 -4.1583
4900 -4.14986
5000 -4.14918
5100 -4.15906
5200 -4.16338
5300 -4.17044
5400 -4.1634
5500 -4.15657
5600 -4.15824
5700 -4.17067
5800 -4.17569
5900 -4.18352
6000 -4.17562
6100 -4.17285
6200 -4.1665
6300 -4.17273
6400 -4.17122
6500 -4.17992
6600 -4.17648
6700 -4.19354
6800 -4.1843
6900 -4.18226
7000 -4.17957
7100 -4.17656
7200 -4.17525
7300 -4.17264
7400 -4.17731
7500 -4.18247
7600 -4.16873
7700 -4.17603
7800 -4.17591
7900 -4.16698
8000 -4.15866
8100 -4.16743
8200 -4.16401
8300 -4.17594
8400 -4.17773
8500 -4.17096
8600 -4.17582
8700 -4.17335
8800 -4.18043
8900 -4.17375
9000 -4.1668
9100 -4.163
9200 -4.16668
9300 -4.17411
9400 -4.17266
9500 -4.16805
9600 -4.16224
9700 -4.15959
9800 -4.1653
9900 -4.17147
10000 -4.17543
10100 -4.17377
10200 -4.17908
10300 -4.17467
10400 -4.17856
10500 -4.1829
10600 -4.17898
10700 -4.19383
10800 -4.19198
10900 -4.18444
11000 -4.18877
11100 -4.19096
11200 -4.18299
11300 -4.17795
11400 -4.17966
11500 -4.18409
11600 -4.18199
11700 -4.18075
11800 -4.19357
11900 -4.18114
12000 -4.17517
12100 -4.17903
12200 -4.19325
12300 -4.19741
12400 -4.1942
12500 -4.18435
12600 -4.18622
12700 -4.19421
12800 -4.18785
12900 -4.19625
13000 -4.19226
13100 -4.19359
13200 -4.20105
13300 -4.1996
13400 -4.19811
13500 -4.19041
13600 -4.18886
13700 -4.18653
13800 -4.19301
13900 -4.20844
14000 -4.20099
