# Time-averaged data for fix rec
# TimeStep v_temp v_vat
131000 1493.32 19.9347
132000 1490.51 19.9547
133000 1476.76 19.9272
134000 1479.44 19.8781
135000 1449.27 19.8505
136000 1451.8 19.8562
137000 1436.17 19.751
138000 1418.11 19.7551
139000 1416.34 19.7271
140000 1420.26 19.7471
141000 1392.56 19.6931
142000 1382.19 19.6467
143000 1373.77 19.6439
144000 1355.11 19.6114
145000 1360.03 19.615
146000 1340.18 19.5534
147000 1335.78 19.5725
148000 1338.05 19.5545
149000 1313.17 19.4792
150000 1304.33 19.4964
151000 1306.34 19.4983
152000 1281.6 19.4008
153000 1268.28 19.3958
154000 1259.27 19.4018
155000 1251.25 19.352
156000 1248.16 19.3986
157000 1242.19 19.332
158000 1223.52 19.3033
159000 1213.36 19.2849
160000 1207.33 19.2846
161000 1195 19.235
162000 1177.05 19.2095
163000 1185.27 19.2278
164000 1168.38 19.2011
165000 1156.24 19.1787
166000 1138.92 19.1573
167000 1131.71 19.1254
168000 1118.84 19.0776
169000 1117.37 19.0773
170000 1104.03 19.0425
171000 1096.08 19.0483
172000 1089.22 19.0305
173000 1075.29 18.9838
174000 1067.41 18.9679
175000 1056.65 18.9395
176000 1045.32 18.9558
177000 1036.36 18.9137
178000 1024.34 18.8782
179000 1016.32 18.8669
180000 996.686 18.8339
181000 990.095 18.82
182000 983.737 18.8175
183000 978.61 18.7781
184000 971.863 18.79
185000 960.35 18.7729
186000 944.637 18.7062
187000 931.755 18.6935
188000 923.624 18.6974
189000 923.078 18.6774
190000 902.455 18.6534
191000 885.539 18.624
192000 880.443 18.602
193000 874.429 18.6116
194000 863.76 18.5563
195000 858.213 18.5425
196000 843.008 18.5176
197000 834.125 18.5288
198000 825.574 18.494
199000 803.873 18.4502
200000 812.001 18.4746
201000 788.52 18.4326
202000 779.524 18.4182
203000 773.116 18.4056
204000 763.553 18.3774
205000 758.828 18.365
206000 737.166 18.3265
207000 737.08 18.3213
208000 722.879 18.3062
209000 722.543 18.3083
210000 704.108 18.2787
211000 699.422 18.2512
212000 681.837 18.2291
213000 681.295 18.2133
214000 663.963 18.1833
215000 652.329 18.1605
216000 643.755 18.1547
217000 630.667 18.1451
218000 625.203 18.1193
219000 616.48 18.1191
220000 606.191 18.089
221000 593.548 18.0648
222000 578.641 18.0401
223000 577.452 18.0206
224000 566.133 18.0071
225000 555.782 18.0062
226000 542.936 17.9872
227000 535.362 17.9765
228000 527.489 17.9572
229000 515.308 17.9534
230000 505.328 17.9248
231000 495.167 17.9122
232000 485.232 17.8927
233000 475.994 17.8715
234000 465.688 17.8566
235000 454 17.8366
236000 445.027 17.823
237000 436.463 17.8184
238000 423.424 17.7917
239000 414.44 17.784
240000 407.346 17.7568
241000 393.158 17.7433
242000 386.067 17.7323
243000 377.905 17.7262
244000 364.796 17.7005
245000 355.475 17.6893
246000 343.575 17.6649
247000 336.257 17.6514
248000 327.722 17.6398
249000 316.076 17.6356
250000 303.308 17.6247
