# Time-averaged data for fix outmsd
# TimeStep c_msd[4]
0 1.98312e-28
100 1.27334
200 2.48603
300 4.00594
400 5.5457
500 6.91348
600 8.26885
700 9.7465
800 11.2194
900 12.6824
1000 13.951
1100 15.2344
1200 16.3918
1300 17.7669
1400 19.164
1500 20.7085
1600 22.1041
1700 23.3597
1800 24.7302
1900 26.2324
2000 27.7178
2100 29.1471
2200 30.7197
2300 32.0406
2400 33.5163
2500 35.2458
2600 36.3808
2700 37.4587
2800 38.4887
2900 39.8962
3000 41.0611
3100 42.6864
3200 44.4978
3300 45.9045
3400 47.1734
3500 48.6812
3600 50.0763
3700 51.6124
3800 53.2801
3900 54.441
4000 55.4399
4100 56.6341
4200 58.2547
4300 59.7216
4400 61.048
4500 62.333
4600 63.6433
4700 65.5181
4800 66.3936
4900 67.4153
5000 68.6832
5100 69.9103
5200 71.5195
5300 73.0705
5400 75.0173
5500 76.2321
5600 77.7791
5700 79.2276
5800 81.0465
5900 82.2312
6000 84.0554
6100 85.9117
6200 87.8575
6300 89.0689
6400 90.7974
6500 92.4943
6600 94.091
6700 94.7281
6800 96.1626
6900 97.5194
7000 98.5821
7100 100.295
7200 101.812
7300 103.007
7400 104.438
7500 105.77
7600 107.066
7700 107.353
7800 108.8
7900 110.514
8000 111.825
8100 113.78
8200 115.018
8300 116.741
8400 118.063
8500 119.948
8600 121.404
8700 123.108
8800 125.289
8900 127.103
9000 128.716
9100 130.449
9200 131.444
9300 132.308
9400 133.92
9500 135.274
9600 136.499
9700 137.716
9800 139.717
9900 141.497
10000 142.734
10100 144.034
10200 145.687
10300 146.987
10400 148.675
10500 149.976
10600 151.765
10700 153.188
10800 154.437
10900 155.572
11000 157.715
11100 159.929
11200 161.446
11300 163.803
11400 165.441
11500 167.023
11600 168.265
11700 169.64
11800 169.997
11900 171.057
12000 172.518
12100 174.145
12200 176.102
12300 177.323
12400 178.925
12500 179.836
12600 181.761
12700 183.39
12800 185.273
12900 186.925
13000 188.644
13100 189.708
13200 190.846
13300 192.192
13400 193.496
13500 195.036
13600 196.339
13700 198.506
13800 200.499
13900 201.595
14000 201.944
14100 203.56
14200 204.813
14300 206
14400 208.557
14500 210.56
14600 212.41
14700 214.041
14800 216.021
14900 217.292
15000 219.133
15100 220.304
15200 221.907
15300 223.05
15400 223.788
15500 225.168
15600 225.814
15700 227.884
15800 229.143
15900 230.772
16000 231.347
16100 232.364
16200 234.721
16300 236.67
16400 238.488
16500 239.683
16600 241.339
16700 242.499
16800 242.996
16900 244.586
