# Time-averaged data for fix outvacf
# TimeStep c_vacf[4]
0 108.524
2 107.385
4 104.435
6 99.7724
8 93.5676
10 86.0714
12 77.5861
14 68.3869
16 58.7303
18 48.8853
20 39.1129
22 29.6501
24 20.7371
26 12.5716
28 5.27955
30 -1.07526
32 -6.45184
34 -10.8369
36 -14.263
38 -16.7776
40 -18.4472
42 -19.3503
44 -19.5713
46 -19.2088
48 -18.3753
50 -17.1746
52 -15.6904
54 -14.0175
56 -12.2293
58 -10.3971
60 -8.61329
62 -6.96597
64 -5.48293
66 -4.15792
68 -2.99877
70 -2.01545
72 -1.21769
74 -0.592809
76 -0.112852
78 0.260869
80 0.563065
82 0.800366
84 0.999877
86 1.18434
88 1.36833
90 1.54873
92 1.70809
94 1.81864
96 1.85801
98 1.82934
100 1.75398
102 1.64514
104 1.50694
106 1.33339
108 1.1197
110 0.877818
112 0.638349
114 0.418469
116 0.225669
118 0.075005
120 -0.021548
122 -0.0640757
124 -0.0783686
126 -0.0839265
128 -0.0781688
130 -0.0643415
132 -0.0541987
134 -0.0435976
136 -0.0337041
138 -0.0350679
140 -0.0496562
142 -0.0646962
144 -0.0799984
146 -0.104526
148 -0.124243
150 -0.121757
152 -0.083568
154 0.00792749
156 0.169044
158 0.394998
160 0.652883
162 0.922787
164 1.18298
166 1.41836
168 1.63223
170 1.82043
172 1.98093
174 2.10286
176 2.1832
178 2.22864
180 2.24272
182 2.21045
184 2.10266
186 1.90245
188 1.60262
190 1.21856
192 0.789413
194 0.344792
196 -0.0946702
198 -0.506712
200 -0.888042
202 -1.2349
204 -1.53123
206 -1.75851
208 -1.90899
210 -1.99558
212 -2.0416
214 -2.06304
216 -2.0812
218 -2.11705
220 -2.18353
222 -2.26637
224 -2.34546
226 -2.38079
228 -2.34378
230 -2.21758
232 -2.00186
234 -1.70178
236 -1.32559
238 -0.914888
240 -0.500968
242 -0.106017
244 0.242725
246 0.517204
248 0.715066
250 0.828416
252 0.851388
254 0.769081
256 0.585796
258 0.333675
260 0.0562644
262 -0.218465
264 -0.467767
266 -0.678049
268 -0.8555
270 -1.00816
272 -1.13026
274 -1.20291
276 -1.20477
278 -1.13297
280 -1.0014
282 -0.82187
284 -0.59534
286 -0.322006
288 -0.0101092
290 0.339227
292 0.725109
294 1.12585
296 1.51
298 1.84909
300 2.12625
302 2.33879
304 2.49197
306 2.58354
308 2.59186
310 2.50886
312 2.34497
314 2.11734
316 1.83332
318 1.51086
320 1.18148
322 0.868492
324 0.585328
326 0.370973
328 0.253304
330 0.225695
332 0.264357
334 0.361121
336 0.510286
338 0.704721
340 0.915687
342 1.12491
344 1.29083
346 1.35674
348 1.29578
350 1.11229
352 0.844756
354 0.535532
356 0.229209
358 -0.0483544
360 -0.28186
362 -0.461351
364 -0.579172
366 -0.620867
368 -0.573395
370 -0.442178
372 -0.243138
374 0.00845952
376 0.299413
378 0.609952
380 0.925301
382 1.25426
384 1.60254
386 1.95711
388 2.31783
390 2.67632
392 3.00355
394 3.26466
396 3.43939
398 3.52528
400 3.51429
402 3.40382
404 3.19756
406 2.91812
408 2.58025
410 2.17901
412 1.7079
414 1.16032
416 0.540152
418 -0.127281
420 -0.803643
422 -1.45871
424 -2.05487
426 -2.55818
428 -2.9675
430 -3.3057
432 -3.58385
434 -3.78665
436 -3.90423
438 -3.91788
440 -3.82302
442 -3.63498
444 -3.36918
446 -3.05645
448 -2.72587
450 -2.39416
452 -2.06404
454 -1.72081
456 -1.36008
458 -0.985382
460 -0.59738
462 -0.197567
464 0.205443
466 0.598591
468 0.97118
470 1.31704
472 1.60842
474 1.84014
476 2.00123
478 2.06542
480 2.02331
482 1.88497
484 1.66568
486 1.39028
488 1.08606
490 0.785879
492 0.519815
494 0.28706
496 0.0724184
498 -0.140594
500 -0.358238
502 -0.570553
504 -0.767618
506 -0.941046
508 -1.09767
510 -1.25432
512 -1.42765
514 -1.61258
516 -1.81506
518 -2.04325
520 -2.26751
522 -2.45272
524 -2.57831
526 -2.63664
528 -2.6215
530 -2.54673
532 -2.4396
534 -2.29296
536 -2.10713
538 -1.88083
540 -1.62415
542 -1.3601
544 -1.10517
546 -0.865943
548 -0.654798
550 -0.493899
552 -0.392957
554 -0.349676
556 -0.347493
558 -0.371243
560 -0.414361
562 -0.488355
564 -0.589953
566 -0.705758
568 -0.824829
570 -0.939032
572 -1.03636
574 -1.11593
576 -1.18824
578 -1.24762
580 -1.29028
582 -1.32215
584 -1.34679
586 -1.36704
588 -1.36564
590 -1.33104
592 -1.25663
594 -1.1622
596 -1.06412
598 -0.972132
600 -0.892143
602 -0.823758
604 -0.743631
606 -0.640478
608 -0.518921
610 -0.393116
612 -0.285737
614 -0.20609
616 -0.150966
618 -0.0992998
620 -0.0362271
622 0.0400889
624 0.128503
626 0.223409
628 0.299179
630 0.325798
632 0.314954
634 0.286644
636 0.246136
638 0.189086
640 0.125174
642 0.0656111
644 -0.00293844
646 -0.0645127
648 -0.102611
650 -0.10188
652 -0.0295147
654 0.122288
656 0.34246
658 0.60576
660 0.893281
662 1.18762
664 1.47237
666 1.7333
668 1.95914
670 2.12848
672 2.19876
674 2.14312
676 1.97543
678 1.72479
680 1.43133
682 1.1248
684 0.802483
686 0.429947
688 -0.0102071
690 -0.484532
692 -0.949671
694 -1.37293
696 -1.73663
698 -2.05549
700 -2.33823
702 -2.58368
704 -2.7761
706 -2.89127
708 -2.91551
710 -2.84874
712 -2.71619
714 -2.53473
716 -2.31833
718 -2.05948
720 -1.7395
722 -1.35207
724 -0.895511
726 -0.371877
728 0.211531
730 0.834907
732 1.45892
734 2.04086
736 2.54803
738 2.98118
740 3.33814
742 3.62074
744 3.83883
746 4.00303
748 4.12689
750 4.20575
752 4.23354
754 4.21354
756 4.15317
758 4.06
760 3.94096
762 3.78699
764 3.57326
766 3.28166
768 2.91862
770 2.51255
772 2.09547
774 1.68743
776 1.29897
778 0.918058
780 0.541166
782 0.193839
784 -0.100521
786 -0.323634
788 -0.458045
790 -0.508402
792 -0.502031
794 -0.453058
796 -0.368799
798 -0.268998
800 -0.169253
802 -0.0752933
804 0.0224024
806 0.131228
808 0.253006
810 0.372461
812 0.452182
814 0.45307
816 0.361488
818 0.191019
820 -0.0272667
822 -0.270158
824 -0.538958
826 -0.845686
828 -1.18287
830 -1.52546
832 -1.84272
834 -2.10993
836 -2.30834
838 -2.42545
840 -2.47061
842 -2.45895
844 -2.40696
846 -2.32646
848 -2.21724
850 -2.06207
852 -1.84073
854 -1.55207
856 -1.21946
858 -0.868636
860 -0.52739
862 -0.215151
864 0.0724938
866 0.350483
868 0.618961
870 0.87285
872 1.11205
874 1.32628
876 1.50482
878 1.63882
880 1.72768
882 1.78368
884 1.81884
886 1.80982
888 1.73989
890 1.60615
892 1.42868
894 1.2398
896 1.0703
898 0.909872
900 0.73287
902 0.530344
904 0.302315
906 0.0496329
908 -0.207293
910 -0.439757
912 -0.635966
914 -0.789925
916 -0.88901
918 -0.929966
920 -0.917051
922 -0.841458
924 -0.701523
926 -0.505047
928 -0.272841
930 -0.0199784
932 0.22799
934 0.439645
936 0.60022
938 0.717735
940 0.825264
942 0.946568
944 1.06238
946 1.14277
948 1.17496
950 1.16251
952 1.12348
954 1.08289
956 1.0508
958 1.02017
960 0.975878
962 0.921985
964 0.87249
966 0.83015
968 0.801429
970 0.781125
972 0.740405
974 0.658858
976 0.528437
978 0.362655
980 0.180591
982 0.0039151
984 -0.141453
986 -0.229521
988 -0.252068
990 -0.2237
992 -0.158377
994 -0.0680056
996 0.0261632
998 0.117697
1000 0.216206
1002 0.320797
1004 0.434879
1006 0.561927
1008 0.696338
1010 0.821523
1012 0.917473
1014 0.978141
1016 1.02008
1018 1.06114
1020 1.09391
1022 1.08662
1024 1.01946
1026 0.897678
1028 0.740348
1030 0.575309
1032 0.424592
1034 0.295661
1036 0.179067
1038 0.0570627
1040 -0.074375
1042 -0.212675
1044 -0.357228
1046 -0.510118
1048 -0.672008
1050 -0.830072
1052 -0.985101
1054 -1.14394
1056 -1.30428
1058 -1.44706
1060 -1.55039
1062 -1.58562
1064 -1.54253
1066 -1.4312
1068 -1.27103
1070 -1.07744
1072 -0.86974
1074 -0.66513
1076 -0.467806
1078 -0.286928
1080 -0.126134
1082 0.0273048
1084 0.172171
1086 0.287997
1088 0.363224
1090 0.398889
1092 0.407736
1094 0.398948
1096 0.373699
1098 0.333139
1100 0.272469
1102 0.1755
1104 0.0279258
1106 -0.174702
1108 -0.432296
1110 -0.719739
1112 -1.00145
1114 -1.25259
1116 -1.459
1118 -1.60711
1120 -1.68008
1122 -1.66914
1124 -1.58238
1126 -1.43951
1128 -1.25637
1130 -1.06534
1132 -0.884638
1134 -0.707578
1136 -0.53662
1138 -0.370074
1140 -0.210904
1142 -0.0861974
1144 -0.0221074
1146 -0.0242891
1148 -0.0738952
1150 -0.126671
1152 -0.138597
1154 -0.0952208
1156 -0.0200883
1158 0.0537696
1160 0.114021
1162 0.168623
1164 0.21129
1166 0.233835
1168 0.229936
1170 0.191761
1172 0.124319
1174 0.0502381
1176 -0.016557
1178 -0.0595861
1180 -0.0768048
1182 -0.0790446
1184 -0.0796263
1186 -0.0850222
1188 -0.103859
1190 -0.142891
1192 -0.191329
1194 -0.246661
1196 -0.312948
1198 -0.412895
1200 -0.558793
1202 -0.744351
1204 -0.941527
1206 -1.11581
1208 -1.24161
1210 -1.31109
1212 -1.34024
1214 -1.34078
1216 -1.31046
1218 -1.24854
1220 -1.15896
1222 -1.06032
1224 -0.963035
1226 -0.853954
1228 -0.72481
1230 -0.587274
1232 -0.453173
1234 -0.337777
1236 -0.250133
1238 -0.196391
1240 -0.179644
1242 -0.179305
1244 -0.18837
1246 -0.198065
1248 -0.200412
1250 -0.206061
1252 -0.214798
1254 -0.221584
1256 -0.223082
1258 -0.197804
1260 -0.128155
1262 -0.00471938
1264 0.181075
1266 0.412551
1268 0.657647
1270 0.898842
1272 1.11634
1274 1.27582
1276 1.35557
1278 1.33425
1280 1.20711
1282 0.977195
1284 0.66315
1286 0.273957
1288 -0.180623
1290 -0.667131
1292 -1.14492
1294 -1.5831
1296 -1.96654
1298 -2.28212
1300 -2.53091
1302 -2.72651
1304 -2.86713
1306 -2.94278
1308 -2.93835
1310 -2.83817
1312 -2.6364
1314 -2.34669
1316 -2.00725
1318 -1.63415
1320 -1.22401
1322 -0.767092
1324 -0.273098
1326 0.255701
1328 0.79935
1330 1.33437
1332 1.82897
1334 2.25115
1336 2.57071
1338 2.75936
1340 2.81573
1342 2.7502
1344 2.58241
1346 2.33383
1348 2.02415
1350 1.66375
1352 1.26309
1354 0.840801
1356 0.429784
1358 0.0480073
1360 -0.306068
1362 -0.64636
1364 -0.964866
1366 -1.24223
1368 -1.45202
1370 -1.56364
1372 -1.56281
1374 -1.46943
1376 -1.32095
1378 -1.14744
1380 -0.969092
1382 -0.784028
1384 -0.58215
1386 -0.364113
1388 -0.130661
1390 0.114321
1392 0.360335
1394 0.578235
1396 0.741887
1398 0.843041
1400 0.875879
1402 0.837334
1404 0.736747
1406 0.594537
1408 0.426892
1410 0.241155
1412 0.0479093
1414 -0.13969
1416 -0.308588
1418 -0.439104
1420 -0.507741
1422 -0.517088
1424 -0.503464
1426 -0.50247
1428 -0.536259
1430 -0.608731
1432 -0.712393
1434 -0.831624
1436 -0.970015
1438 -1.13444
1440 -1.33248
1442 -1.56127
1444 -1.81586
1446 -2.07144
1448 -2.29983
1450 -2.4767
1452 -2.57995
1454 -2.62108
1456 -2.62026
1458 -2.59061
1460 -2.54344
1462 -2.47888
1464 -2.40484
1466 -2.32172
1468 -2.22664
1470 -2.1137
1472 -1.96573
1474 -1.77139
1476 -1.51908
1478 -1.21724
1480 -0.897692
1482 -0.603325
1484 -0.364592
1486 -0.17554
1488 -0.0157522
1490 0.122314
1492 0.229846
1494 0.300289
1496 0.326428
1498 0.333831
1500 0.333578
1502 0.313352
1504 0.248686
1506 0.110744
1508 -0.109081
1510 -0.393419
1512 -0.707648
1514 -1.02638
1516 -1.32936
1518 -1.60779
1520 -1.86938
1522 -2.11607
1524 -2.33118
1526 -2.50223
1528 -2.62369
1530 -2.69345
1532 -2.71463
1534 -2.70558
1536 -2.68142
1538 -2.64139
1540 -2.57172
1542 -2.45573
1544 -2.28619
1546 -2.05715
1548 -1.78229
1550 -1.48773
1552 -1.18953
1554 -0.883627
1556 -0.559834
1558 -0.219441
1560 0.125789
1562 0.460181
1564 0.772311
1566 1.07194
1568 1.36444
1570 1.63885
1572 1.88883
1574 2.09827
1576 2.2537
1578 2.37278
1580 2.47682
1582 2.56133
1584 2.60887
1586 2.61165
1588 2.57475
1590 2.51166
1592 2.44594
1594 2.38456
1596 2.3204
1598 2.25662
1600 2.18443
1602 2.07211
1604 1.91931
1606 1.73581
1608 1.53004
1610 1.31225
1612 1.08803
1614 0.84157
1616 0.565122
1618 0.276088
1620 -0.0160682
1622 -0.313176
1624 -0.62337
1626 -0.933323
1628 -1.22726
1630 -1.4829
1632 -1.6711
1634 -1.78461
1636 -1.84292
1638 -1.87023
1640 -1.87783
1642 -1.8732
1644 -1.87187
1646 -1.87239
1648 -1.86881
1650 -1.86852
1652 -1.87519
1654 -1.88286
1656 -1.88014
1658 -1.86089
1660 -1.82037
1662 -1.75941
1664 -1.68839
1666 -1.6208
1668 -1.5761
