# Time-averaged data for fix peout
# TimeStep v_peat
2000 -4.10172
2100 -4.10198
2200 -4.10982
2300 -4.11682
2400 -4.12663
2500 -4.12195
2600 -4.11445
2700 -4.10159
2800 -4.10551
2900 -4.11808
3000 -4.11648
3100 -4.11489
3200 -4.11452
3300 -4.10527
3400 -4.10628
3500 -4.11592
3600 -4.12226
3700 -4.12077
3800 -4.11382
3900 -4.10428
4000 -4.1071
4100 -4.12336
4200 -4.11721
4300 -4.1145
4400 -4.11496
4500 -4.11751
4600 -4.10676
4700 -4.09872
4800 -4.10649
4900 -4.11046
5000 -4.10955
5100 -4.11641
5200 -4.11783
5300 -4.13183
5400 -4.11767
5500 -4.11998
5600 -4.11376
5700 -4.10796
5800 -4.10708
5900 -4.11207
6000 -4.11473
6100 -4.11646
6200 -4.1039
6300 -4.10429
6400 -4.10269
6500 -4.10951
6600 -4.10448
6700 -4.1179
6800 -4.11928
6900 -4.11953
7000 -4.11252
7100 -4.0911
7200 -4.11025
7300 -4.10174
7400 -4.11854
7500 -4.11777
7600 -4.12479
7700 -4.10882
7800 -4.10235
7900 -4.10626
8000 -4.11527
8100 -4.11108
8200 -4.1092
8300 -4.11518
8400 -4.10762
8500 -4.10666
8600 -4.11131
8700 -4.11761
8800 -4.11453
8900 -4.11201
9000 -4.10917
9100 -4.11439
9200 -4.11819
9300 -4.11997
9400 -4.13555
9500 -4.11183
9600 -4.11017
9700 -4.10948
9800 -4.10451
9900 -4.1149
10000 -4.1121
10100 -4.11491
10200 -4.12235
10300 -4.1222
10400 -4.11824
10500 -4.11371
10600 -4.11925
10700 -4.11915
10800 -4.1159
10900 -4.10901
11000 -4.09932
11100 -4.12442
11200 -4.12354
11300 -4.1225
11400 -4.11333
11500 -4.10933
11600 -4.10881
11700 -4.10556
11800 -4.11096
11900 -4.11927
12000 -4.12002
12100 -4.11517
12200 -4.11025
12300 -4.1125
12400 -4.11117
12500 -4.11954
12600 -4.11289
12700 -4.12512
12800 -4.11142
12900 -4.10975
13000 -4.1168
13100 -4.12198
13200 -4.12862
13300 -4.11553
13400 -4.10005
13500 -4.11274
13600 -4.11544
13700 -4.1186
13800 -4.12135
13900 -4.10928
14000 -4.10207
