# Time-averaged data for fix peout
# TimeStep v_peat
2000 -4.27299
2100 -4.2743
2200 -4.27319
2300 -4.27295
2400 -4.27429
2500 -4.27493
2600 -4.2747
2700 -4.27229
2800 -4.27252
2900 -4.27441
3000 -4.27442
3100 -4.27599
3200 -4.27539
3300 -4.27353
3400 -4.27337
3500 -4.27229
3600 -4.27411
3700 -4.27531
3800 -4.27362
3900 -4.27131
4000 -4.27285
4100 -4.27136
4200 -4.27176
4300 -4.27327
4400 -4.2757
4500 -4.27428
4600 -4.27152
4700 -4.26996
4800 -4.27221
4900 -4.27601
5000 -4.27736
5100 -4.27427
5200 -4.27076
5300 -4.26978
5400 -4.27224
5500 -4.27355
5600 -4.27353
5700 -4.27313
5800 -4.27335
5900 -4.27056
6000 -4.27218
6100 -4.2747
6200 -4.27406
6300 -4.2747
6400 -4.27413
6500 -4.27438
6600 -4.2727
6700 -4.27378
6800 -4.27357
6900 -4.27201
7000 -4.27393
7100 -4.27075
7200 -4.27052
7300 -4.27278
7400 -4.27602
7500 -4.27209
7600 -4.27256
7700 -4.26947
7800 -4.2753
7900 -4.27536
8000 -4.27406
8100 -4.27346
8200 -4.27322
8300 -4.27352
8400 -4.27256
8500 -4.27395
8600 -4.2752
8700 -4.27429
8800 -4.27258
8900 -4.273
9000 -4.27367
9100 -4.27414
9200 -4.2757
9300 -4.2756
9400 -4.27427
9500 -4.27189
9600 -4.27339
9700 -4.2743
9800 -4.27571
9900 -4.27362
10000 -4.27179
10100 -4.27227
10200 -4.27428
10300 -4.27409
10400 -4.27469
10500 -4.27105
10600 -4.27297
10700 -4.27259
10800 -4.27419
10900 -4.27155
11000 -4.27372
11100 -4.27204
11200 -4.27072
11300 -4.27308
11400 -4.27477
11500 -4.2723
11600 -4.27313
11700 -4.27436
11800 -4.27402
11900 -4.27266
12000 -4.27503
12100 -4.27417
12200 -4.27392
12300 -4.27526
12400 -4.27408
12500 -4.27304
12600 -4.27224
12700 -4.27488
12800 -4.2736
12900 -4.27341
13000 -4.27397
13100 -4.27135
13200 -4.2685
13300 -4.26985
13400 -4.27409
13500 -4.27511
13600 -4.2752
13700 -4.27352
13800 -4.27288
13900 -4.27227
14000 -4.27485
14100 -4.27501
14200 -4.27431
14300 -4.27431
14400 -4.27188
14500 -4.27239
14600 -4.27825
14700 -4.2733
14800 -4.27358
14900 -4.27278
15000 -4.27113
15100 -4.27329
15200 -4.27351
15300 -4.27494
15400 -4.27279
15500 -4.27443
15600 -4.27009
15700 -4.27375
15800 -4.27602
15900 -4.2764
16000 -4.27334
16100 -4.27176
16200 -4.27231
16300 -4.27316
16400 -4.27319
16500 -4.27431
16600 -4.27553
16700 -4.27334
16800 -4.2746
16900 -4.27131
17000 -4.27263
17100 -4.2725
17200 -4.27372
17300 -4.27449
17400 -4.27663
17500 -4.27757
17600 -4.27498
17700 -4.27149
17800 -4.27173
17900 -4.27552
18000 -4.27661
18100 -4.27545
18200 -4.27347
18300 -4.27279
18400 -4.27254
18500 -4.27368
18600 -4.27453
18700 -4.27395
18800 -4.27642
18900 -4.2717
19000 -4.2727
19100 -4.27323
19200 -4.27196
19300 -4.27493
19400 -4.27595
19500 -4.27497
19600 -4.27203
19700 -4.26916
19800 -4.27469
19900 -4.27478
20000 -4.2738
20100 -4.27219
20200 -4.27232
20300 -4.27349
20400 -4.27126
20500 -4.27455
20600 -4.27358
20700 -4.27409
20800 -4.27356
20900 -4.27319
21000 -4.27289
21100 -4.27205
21200 -4.27381
21300 -4.27353
21400 -4.27436
21500 -4.27514
21600 -4.27387
21700 -4.27212
21800 -4.27244
21900 -4.2752
22000 -4.27654
