strain,sxx_GPa
-0.00000,-0.05274
0.00100,-0.04999
0.00200,0.13183
0.00300,0.19865
0.00400,0.35780
0.00500,0.33100
0.00600,0.32961
0.00700,0.28745
0.00800,0.37834
0.00900,0.47099
0.01000,0.66466
0.01100,0.65631
0.01200,0.73491
0.01300,0.73438
0.01400,0.71619
0.01500,0.72844
0.01600,0.83908
0.01700,0.89901
0.01800,1.10615
0.01900,1.12011
0.02000,1.17209
0.02100,1.15592
0.02200,1.15096
0.02300,1.12816
0.02400,1.29084
0.02500,1.40032
0.02600,1.50302
0.02700,1.55398
0.02800,1.61236
0.02900,1.50612
0.03000,1.63915
0.03100,1.64075
0.03200,1.77663
0.03300,1.89424
0.03400,1.99222
0.03500,1.99698
0.03600,1.99684
0.03700,2.00812
0.03800,2.05820
0.03900,2.14210
0.04000,2.24068
0.04100,2.34428
0.04200,2.42674
0.04300,2.40198
0.04400,2.44214
0.04500,2.42266
0.04600,2.50071
0.04700,2.62385
0.04800,2.78599
0.04900,2.81633
0.05000,2.92182
0.05100,2.78525
0.05200,2.85051
0.05300,2.86183
0.05400,3.01343
0.05500,3.09816
0.05600,3.25038
0.05700,3.19238
0.05800,3.21590
0.05900,3.19566
0.06000,3.25577
0.06100,3.30303
0.06200,3.55331
0.06300,3.57259
0.06400,3.69480
0.06500,3.63820
0.06600,3.65570
0.06700,3.61008
0.06800,3.77222
0.06900,3.90809
0.07000,4.04331
0.07100,4.04498
0.07200,3.99194
0.07300,4.01935
0.07400,3.98873
0.07500,4.07708
0.07600,4.26591
0.07700,4.43525
0.07800,4.39931
0.07900,4.44810
0.08000,4.35042
0.08100,4.40637
0.08200,4.48788
0.08300,4.62965
0.08400,4.72491
0.08500,4.80748
0.08600,4.81629
0.08700,4.85029
0.08800,4.80860
0.08900,4.79618
0.09000,4.96504
0.09100,5.06043
0.09200,5.22924
0.09300,5.25662
0.09400,5.21913
0.09500,5.17066
0.09600,5.24540
0.09700,5.34789
0.09800,5.42786
0.09900,5.57200
0.10000,5.53335
0.10100,5.59582
0.10200,5.59696
0.10300,5.60219
0.10400,5.72874
0.10500,5.72257
0.10600,5.83903
0.10700,5.91002
0.10800,5.98090
0.10900,5.93462
0.11000,5.95399
0.11100,5.94223
0.11200,6.05070
0.11300,6.20292
0.11400,6.22682
0.11500,6.29462
0.11600,6.36132
0.11700,6.28656
0.11800,6.37136
0.11900,6.44288
0.12000,6.55603
0.12100,6.57921
0.12200,6.62215
0.12300,6.64914
0.12400,6.62499
0.12500,6.61986
0.12600,6.78155
0.12700,6.79747
0.12800,6.94501
0.12900,6.98405
0.13000,7.01824
0.13100,6.95554
0.13200,6.96462
