strain,sxx_GPa,syy_GPa,szz_GPa
0.00000,-0.06466,-0.06168,-0.04903
0.00100,0.07149,0.05058,0.06808
0.00200,-0.00460,-0.04993,-0.09510
0.00300,0.15269,0.04980,0.07612
0.00400,0.11451,-0.01791,-0.01410
0.00500,0.11860,-0.07002,-0.06336
0.00600,0.25500,0.05916,0.07624
0.00700,0.17811,-0.08082,-0.07496
0.00800,0.27809,0.06824,0.04763
0.00900,0.26141,-0.04599,-0.08388
0.01000,0.31843,-0.01574,0.00544
0.01100,0.46361,0.07726,0.13609
0.01200,0.28068,-0.16844,-0.15327
0.01300,0.56663,0.17034,0.11747
0.01400,0.42098,-0.07584,-0.14509
0.01500,0.53971,0.05132,0.03083
0.01600,0.60003,0.03448,0.12432
0.01700,0.45906,-0.21020,-0.12503
0.01800,0.71852,0.16786,0.18858
0.01900,0.52425,-0.09552,-0.13757
0.02000,0.67229,0.06525,-0.03164
0.02100,0.79675,0.13547,0.08167
0.02200,0.63740,-0.18520,-0.14244
0.02300,0.89966,0.14751,0.21424
0.02400,0.69967,-0.11980,-0.06823
0.02500,0.80912,0.01551,0.01474
0.02600,0.88366,0.07409,-0.00086
0.02700,0.80418,-0.05856,-0.07638
0.02800,0.93886,0.02298,0.06553
0.02900,0.89450,-0.03159,-0.03197
0.03000,0.93226,-0.02526,0.00729
0.03100,0.94761,0.00485,0.01640
0.03200,1.01757,-0.01262,-0.01323
0.03300,1.05717,0.06670,0.00325
0.03400,1.03965,-0.00914,-0.02975
0.03500,1.09145,0.00954,-0.04185
0.03600,1.17532,0.01386,0.08539
0.03700,1.09189,-0.09837,-0.03255
0.03800,1.21364,0.03198,0.06131
0.03900,1.20244,-0.02511,-0.04767
0.04000,1.27814,0.07620,0.01475
0.04100,1.25884,-0.01831,-0.06816
0.04200,1.32119,0.01762,0.03997
0.04300,1.31952,-0.00194,0.03167
0.04400,1.30096,-0.08616,-0.00129
0.04500,1.39436,0.07090,0.03522
0.04600,1.34277,-0.01895,-0.07688
0.04700,1.41834,0.02685,-0.01919
0.04800,1.43922,0.02847,-0.00506
0.04900,1.44597,-0.03213,-0.00276
0.05000,1.49648,-0.01507,0.05398
0.05100,1.51663,-0.01652,0.04171
0.05200,1.50759,-0.02025,-0.02582
0.05300,1.57399,0.05220,-0.01620
0.05400,1.56699,0.00682,-0.05456
0.05500,1.61544,0.01552,0.01116
0.05600,1.61165,-0.01287,0.03347
0.05700,1.57965,-0.12049,0.00228
0.05800,1.74020,0.03765,0.11314
0.05900,1.66930,-0.04786,-0.03053
0.06000,1.68411,0.04883,-0.02545
0.06100,1.75249,0.09269,-0.03880
0.06200,1.66158,-0.05473,-0.10173
0.06300,1.84796,0.04374,0.09935
0.06400,1.77942,-0.08001,0.00892
0.06500,1.79471,-0.08379,0.03748
0.06600,1.84955,0.02793,0.02975
0.06700,1.78018,-0.06433,-0.11876
0.06800,1.88954,0.12760,0.04527
0.06900,1.80526,-0.06230,-0.10834
0.07000,1.93508,0.03307,0.04691
0.07100,1.95956,-0.00182,0.06424
0.07200,1.87260,-0.13010,-0.04283
0.07300,2.03177,0.09021,0.07377
0.07400,1.96247,-0.03715,-0.06495
0.07500,1.98283,0.05497,0.03440
0.07600,1.99737,-0.00969,-0.03771
0.07700,2.02579,0.01342,-0.02136
0.07800,2.01239,-0.01748,0.03021
0.07900,2.07846,-0.03648,-0.01126
0.08000,2.12933,-0.01458,0.03767
0.08100,2.12862,-0.03806,-0.00545
0.08200,2.13580,0.04352,0.00885
0.08300,2.15450,0.02638,-0.05388
0.08400,2.18208,0.00208,-0.02966
0.08500,2.21375,0.04667,0.05107
0.08600,2.18724,-0.05652,-0.05772
0.08700,2.24573,0.00248,0.08665
0.08800,2.26363,-0.00826,0.03760
0.08900,2.22131,-0.05180,-0.02718
0.09000,2.34434,0.05452,0.07233
0.09100,2.25628,-0.04380,-0.08812
0.09200,2.34547,0.05811,0.02900
0.09300,2.33173,0.02036,-0.04516
0.09400,2.31968,0.00961,-0.02477
0.09500,2.39958,0.02972,0.11899
0.09600,2.28656,-0.14827,-0.07759
0.09700,2.46084,0.10944,0.18938
0.09800,2.36616,-0.10448,-0.08689
0.09900,2.46802,0.06813,0.00340
0.10000,2.47378,0.08920,-0.01752
0.10100,2.33703,-0.08241,-0.15220
0.10200,2.57834,0.13764,0.10921
0.10300,2.41474,-0.11888,-0.05215
0.10400,2.50100,-0.01599,0.06085
0.10500,2.57058,0.07780,0.10895
0.10600,2.47139,-0.14183,-0.11085
0.10700,2.63184,0.07203,0.08772
0.10800,2.55205,-0.08599,-0.06798
0.10900,2.60390,0.02688,-0.00517
0.11000,2.64642,0.04253,0.03433
0.11100,2.58840,-0.03660,-0.03896
0.11200,2.67383,0.05852,0.03531
0.11300,2.65526,-0.01910,-0.06978
0.11400,2.67394,-0.03732,0.01552
0.11500,2.68481,0.02590,0.01811
0.11600,2.64869,-0.06988,-0.03642
0.11700,2.77038,0.03127,0.03968
0.11800,2.75891,-0.00038,-0.01580
0.11900,2.73175,-0.03036,-0.04655
0.12000,2.81850,0.06905,0.07297
0.12100,2.74891,-0.06082,-0.03811
0.12200,2.84127,0.04307,0.00683
0.12300,2.85149,0.02881,0.00758
0.12400,2.79087,-0.06449,-0.06584
0.12500,2.90018,0.07461,0.04836
0.12600,2.82729,-0.02820,-0.07132
0.12700,2.86094,0.01392,-0.00984
0.12800,2.90710,0.03552,0.07000
0.12900,2.84518,-0.07056,-0.00340
0.13000,2.96511,0.03836,0.08273
0.13100,2.96459,-0.02639,-0.01237
0.13200,2.96084,-0.02544,-0.04132
0.13300,3.02348,0.06989,0.06032
0.13400,2.97170,-0.04428,-0.06509
0.13500,3.03328,0.05047,0.02086
0.13600,3.03569,0.01955,-0.02681
