strain,stress_GPa
0.00000,-0.00129
0.00180,0.53319
0.00361,1.06540
0.00541,1.59906
0.00722,2.13414
0.00902,2.66789
0.01083,3.20233
0.01263,3.73432
0.01443,4.26138
0.01624,4.77527
0.01804,5.27458
0.01985,5.75799
0.02165,6.22843
0.02345,6.68169
0.02526,7.11802
0.02706,7.53785
0.02887,7.94077
0.03067,8.32760
0.03248,8.69476
0.03428,9.04772
0.03608,9.38618
0.03789,9.70713
0.03969,10.01536
0.04150,10.29968
0.04330,10.56451
0.04510,10.81452
0.04691,11.03976
0.04871,11.25613
0.05052,11.45047
0.05232,11.62240
0.05413,11.77765
0.05593,11.91858
0.05773,12.05909
0.05954,12.19935
0.06134,12.34273
0.06315,12.49092
0.06495,12.64401
0.06676,12.80443
0.06856,12.97003
0.07036,13.14332
0.07217,13.32402
0.07397,13.50858
0.07578,13.70207
0.07758,13.90157
0.07938,14.10705
0.08119,14.31866
0.08299,14.53571
0.08480,14.76024
0.08660,14.98753
0.08841,15.22184
0.09021,15.46186
0.09201,15.70672
0.09382,15.95509
0.09562,16.20572
0.09743,16.45842
0.09923,16.71052
0.10103,16.96196
0.10284,17.21217
0.10464,17.46139
0.10645,17.70932
0.10825,17.95540
0.11006,18.20032
0.11186,18.44271
0.11366,18.68339
0.11547,18.92339
0.11727,19.16227
0.11908,19.40059
0.12088,19.63763
0.12269,19.87314
0.12449,20.10615
0.12629,20.33368
0.12810,20.07695
0.12990,20.29744
0.13171,20.51670
0.13351,19.59203
0.13531,0.00687
0.13712,0.00151
0.13892,0.00214
0.14073,0.00235
0.14253,0.00241
0.14434,0.00243
