depth_Ang,load_eV_per_Ang
0.0000,0.00000
0.0400,0.00000
0.0800,0.19319
0.1200,0.14314
0.1600,0.12065
0.2000,0.71101
0.2400,0.26904
0.2800,1.77085
0.3200,2.84009
0.3600,3.27703
0.4000,6.02905
0.4400,4.35184
0.4800,8.92546
0.5200,16.54980
0.5600,15.66122
0.6000,16.77389
0.6400,15.47819
0.6800,21.13792
0.7200,30.10858
0.7600,22.73928
0.8000,18.79604
0.8400,24.01520
0.8800,22.08756
0.9200,29.41958
0.9600,31.82656
1.0000,31.37378
1.0400,30.05936
1.0800,31.18518
1.1200,43.23087
1.1600,47.68258
1.2000,50.42538
1.2400,54.15027
1.2800,55.81503
1.3200,52.30751
1.3600,54.48766
1.4000,59.76153
1.4400,57.85122
1.4800,63.05945
1.5200,74.89891
1.5600,64.80530
1.6000,72.60876
1.6400,75.55198
1.6800,80.45742
1.7200,73.91336
1.7600,94.00533
1.8000,97.39592
1.8400,98.69429
1.8800,103.12787
1.9200,101.52719
1.9600,95.76080
2.0000,108.23556
2.0400,101.59027
2.0800,109.38506
2.1200,106.72896
2.1600,112.82195
2.2000,120.82203
2.2400,120.69110
2.2800,127.60935
2.3200,142.25250
2.3600,139.53671
2.4000,137.31585
2.4000,137.31585
2.4000,137.31585
2.4000,137.31585
