# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
60000 20 23039.999999999996
  1 0.025 1153.58 283.51
  2 0.075 1151.8 291.1
  3 0.125 1152.32 295.295
  4 0.175 1151.61 298.396
  5 0.225 1152.07 295.855
  6 0.275 1151.78 301.279
  7 0.325 1152.28 302.785
  8 0.375 1151.65 303.948
  9 0.425 1152.05 307.528
  10 0.475 1150.79 309.839
  11 0.525 1150.24 314.58
  12 0.575 1151.05 308.895
  13 0.625 1151.92 301.833
  14 0.675 1151.04 305.616
  15 0.725 1152.07 302.67
  16 0.775 1152.14 300.691
  17 0.825 1152.13 296.906
  18 0.875 1153.67 291.983
  19 0.925 1152.83 294.165
  20 0.975 1152.98 290.915
70000 20 23039.999999999996
  1 0.025 1153.35 281.334
  2 0.075 1153.29 288.135
  3 0.125 1151.79 292.281
  4 0.175 1151.6 294.901
  5 0.225 1153.03 299.68
  6 0.275 1151.38 301.913
  7 0.325 1151.85 306.867
  8 0.375 1151.93 306.431
  9 0.425 1151.29 305.367
  10 0.475 1150.99 311.512
  11 0.525 1150.93 321.844
  12 0.575 1151.13 309.047
  13 0.625 1151.86 304.317
  14 0.675 1151.82 302.119
  15 0.725 1151.85 302.3
  16 0.775 1152.21 299.984
  17 0.825 1152.26 295.78
  18 0.875 1151.97 295.459
  19 0.925 1152.65 289.958
  20 0.975 1152.82 289.806
80000 20 23040
  1 0.025 1153.48 279.863
  2 0.075 1152.7 292.06
  3 0.125 1152.64 291.679
  4 0.175 1153.08 294.083
  5 0.225 1151.92 298.374
  6 0.275 1151.54 302.338
  7 0.325 1151.58 303.57
  8 0.375 1151.68 305.119
  9 0.425 1151.69 304.358
  10 0.475 1152.02 314.45
  11 0.525 1150.2 317.526
  12 0.575 1152.8 307.158
  13 0.625 1151.4 300.235
  14 0.675 1152.62 300.72
  15 0.725 1151.79 300.231
  16 0.775 1151.78 298.871
  17 0.825 1151.28 299.302
  18 0.875 1151.58 298.273
  19 0.925 1151.99 298.093
  20 0.975 1152.23 294.949
90000 20 23040
  1 0.025 1152.4 281.252
  2 0.075 1153.18 289.971
  3 0.125 1151.37 297.243
  4 0.175 1152.15 294.961
  5 0.225 1152.21 297.789
  6 0.275 1152.19 301.207
  7 0.325 1151.55 303.727
  8 0.375 1152.42 302.328
  9 0.425 1152.68 300.796
  10 0.475 1150.85 309.962
  11 0.525 1151.05 320.191
  12 0.575 1150.56 310.666
  13 0.625 1151.37 305.66
  14 0.675 1153.19 302.885
  15 0.725 1151.82 301.709
  16 0.775 1151.35 298.046
  17 0.825 1151.75 299.827
  18 0.875 1152.1 297.33
  19 0.925 1152.88 291.631
  20 0.975 1152.93 292.943
100000 20 23040
  1 0.025 1153.74 279.209
  2 0.075 1152.87 289.053
  3 0.125 1152.86 288.128
  4 0.175 1152.54 297.189
  5 0.225 1152.31 298.712
  6 0.275 1151.88 302.077
  7 0.325 1151.88 301.151
  8 0.375 1151.3 305.266
  9 0.425 1151.96 305.553
  10 0.475 1152.04 309.242
  11 0.525 1151.04 320.288
  12 0.575 1151.35 307.569
  13 0.625 1151.29 305.091
  14 0.675 1150.97 303.068
  15 0.725 1151.89 300.61
  16 0.775 1151.62 299.437
  17 0.825 1152.63 300.729
  18 0.875 1151.77 298.836
  19 0.925 1152.53 297.028
  20 0.975 1151.53 294.07
110000 20 23040.000000000004
  1 0.025 1153.95 280.282
  2 0.075 1152.61 293.381
  3 0.125 1152.61 292.991
  4 0.175 1152.11 297.385
  5 0.225 1152.5 295.722
  6 0.275 1151.71 299.838
  7 0.325 1151.43 301.154
  8 0.375 1151.87 305.226
  9 0.425 1151.08 303.556
  10 0.475 1151.01 309.036
  11 0.525 1150.56 322.805
  12 0.575 1151.48 310.403
  13 0.625 1151.95 305.041
  14 0.675 1152.15 306.092
  15 0.725 1151.75 301.621
  16 0.775 1151.72 297.183
  17 0.825 1151.32 296.322
  18 0.875 1152.2 295.778
  19 0.925 1152.72 294.856
  20 0.975 1153.27 289.894
120000 20 23040.000000000004
  1 0.025 1153.3 281.071
  2 0.075 1152.66 291.259
  3 0.125 1152.81 293.807
  4 0.175 1151.8 301.395
  5 0.225 1152.38 296.692
  6 0.275 1151.7 295.877
  7 0.325 1151.61 304.479
  8 0.375 1151.89 305.847
  9 0.425 1151.09 306.772
  10 0.475 1151.93 306.84
  11 0.525 1150.76 318.73
  12 0.575 1150.51 312.591
  13 0.625 1150.9 305.471
  14 0.675 1151.54 301.974
  15 0.725 1152.39 299.966
  16 0.775 1152.74 301.63
  17 0.825 1151.41 299.495
  18 0.875 1153.05 295.285
  19 0.925 1152.63 292.118
  20 0.975 1152.9 290.096
130000 20 23040
  1 0.025 1153.41 281.821
  2 0.075 1152.94 293.147
  3 0.125 1151.62 297.188
  4 0.175 1152.03 296.481
  5 0.225 1151.77 300.376
  6 0.275 1152.51 295.287
  7 0.325 1153.19 301.068
  8 0.375 1152.14 302.551
  9 0.425 1151.33 304.023
  10 0.475 1151.46 308.194
  11 0.525 1149.74 318.296
  12 0.575 1150.55 314.356
  13 0.625 1151.56 307.121
  14 0.675 1151.92 301.692
  15 0.725 1151.52 301.832
  16 0.775 1151.63 299.753
  17 0.825 1153.11 294.767
  18 0.875 1152.37 296.721
  19 0.925 1152.74 293.877
  20 0.975 1152.46 293.052
